nodenumber     x-coordinate     y-coordinate     z-coordinate      temperature 
       309 -4.148409394E-11 -1.615167223E-02  7.200000435E-02  3.731149902E+02 
       310 -1.408616279E-12 -1.219676808E-02  7.200000435E-02  3.731267090E+02 
       311  1.728030913E-12 -8.720454760E-03  7.200000435E-02  3.731345825E+02 
       312 -2.510037664E-11 -5.612934940E-03  7.200000435E-02  3.731393738E+02 
       313  2.882888372E-12 -5.501045845E-03  7.200000435E-02  3.731395264E+02 
       314  3.524276704E-11 -2.388990717E-03  7.200000435E-02  3.731418762E+02 
       315 -1.069058730E-11 -3.428674827E-04  7.200000435E-02  3.731425476E+02 
       316  1.445437953E-12  6.292771286E-05  7.200000435E-02  3.731425781E+02 
       317  8.121857353E-11  3.070792882E-03  7.200000435E-02  3.731409912E+02 
       318 -3.887870581E-11  5.433392711E-03  7.200000435E-02  3.731386414E+02 
       319 -3.374095447E-11  7.411433384E-03  7.200000435E-02  3.731360474E+02 
       320  2.361176810E-10  1.187863015E-02  7.200000435E-02  3.731268311E+02 
       321 -1.119956905E-10  1.613201760E-02  7.200000435E-02  3.731148071E+02 
       322 -1.714150766E-10  2.033977211E-02  7.200000435E-02  3.731011963E+02 
       323 -1.533912553E-09  2.500000037E-02  7.199999690E-02  3.730871582E+02 
       324 -5.110447066E-10 -2.500000037E-02  7.599999756E-02  3.730873718E+02 
       325 -7.797790191E-13 -2.035816014E-02  7.599999756E-02  3.731015625E+02 
       326  3.953345984E-11 -1.615167223E-02  7.599999756E-02  3.731155701E+02 
       327 -5.961627719E-11 -1.219676808E-02  7.599999756E-02  3.731273499E+02 
       328  1.728030913E-12 -8.720454760E-03  7.599999756E-02  3.731352539E+02 
       329  1.170529992E-11 -5.612933543E-03  7.599999756E-02  3.731398926E+02 
       330 -2.985892089E-11 -5.501045380E-03  7.599999756E-02  3.731400452E+02 
       331  6.138936581E-12 -2.388990717E-03  7.599999756E-02  3.731423645E+02 
       332 -8.783536398E-12 -3.428675700E-04  7.599999756E-02  3.731429749E+02 
       333 -1.578947043E-12  6.292776379E-05  7.599999756E-02  3.731430359E+02 
       334 -3.519674829E-11  3.070792882E-03  7.599999756E-02  3.731415405E+02 
       335 -7.409316216E-12  5.433392711E-03  7.599999756E-02  3.731392517E+02 
       336 -7.781572609E-11  7.411433384E-03  7.599999756E-02  3.731366882E+02 
